iter	Passed	Remaining
204	370	1438
205	372	1435
206	374	1434
207	376	1432
208	378	1431
209	379	1426
210	380	1422
211	382	1421
212	384	1419
213	386	1418
214	388	1418
215	390	1416
216	392	1415
217	394	1415
218	395	1411
219	397	1410
220	399	1409
221	400	1403
222	402	1402
223	404	1401
224	405	1398
225	407	1396
226	409	1395
227	412	1395
228	413	1392
229	415	1392
230	418	1391
231	419	1387
232	421	1385
233	422	1382
234	424	1381
235	426	1380
236	428	1379
237	430	1378
238	432	1377
239	433	1372
240	435	1371
241	436	1368
242	438	1367
243	441	1367
244	443	1367
245	444	1361
246	445	1357
247	446	1352
248	448	1351
249	450	1350
250	452	1349
251	454	1348
252	456	1346
253	458	1346
254	460	1345
255	462	1343
256	464	1342
257	466	1341
258	468	1340
259	470	1339
260	472	1337
261	474	1337
262	476	1336
263	477	1332
264	479	1331
265	482	1330
266	484	1328
267	486	1327
268	488	1326
269	490	1325
270	492	1324
271	494	1323
272	496	1321
273	498	1321
274	499	1317
275	501	1316
276	503	1315
277	506	1314
278	508	1313
279	510	1313
280	512	1312
281	514	1311
282	517	1309
283	518	1308
284	521	1307
285	523	1305
286	525	1304
287	527	1303
288	529	1302
289	531	1301
290	532	1298
291	534	1296
292	537	1295
293	539	1294
294	541	1293
295	543	1291
296	545	1290
297	547	1289
298	549	1287
299	551	1286
300	553	1285
301	555	1283
302	557	1282
303	559	1281
304	562	1282
305	564	1280
306	565	1277
307	568	1276
308	569	1273
309	571	1272
310	573	1270
311	575	1268
312	577	1267
313	579	1266
314	581	1264
315	583	1262
316	585	1261
317	587	1260
318	589	1259
319	591	1257
320	593	1256
321	595	1254
322	597	1253
323	600	1252
324	602	1251
325	604	1250
326	606	1249
327	609	1248
328	611	1246
329	613	1244
330	615	1243
331	616	1240
332	618	1239
333	620	1237
334	622	1236
335	624	1234
336	626	1233
337	628	1231
338	630	1229
339	633	1228
340	635	1227
341	637	1225
342	639	1224
343	641	1223
344	643	1221
345	645	1219
346	647	1218
347	649	1217
348	651	1215
349	653	1213
350	655	1212
351	657	1211
352	659	1209
353	661	1207
354	663	1205
355	665	1203
356	667	1201
357	669	1200
358	671	1199
359	673	1197
360	675	1195
361	677	1194
362	679	1192
363	681	1191
364	683	1189
365	685	1188
366	688	1186
367	690	1185
368	692	1183
369	694	1182
370	696	1180
371	698	1179
372	700	1178
373	703	1176
374	705	1175
375	707	1173
376	709	1171
377	711	1171
378	713	1169
379	715	1167
380	717	1166
381	720	1165
382	722	1163
383	723	1161
384	725	1159
385	727	1157
386	729	1155
387	730	1152
388	732	1150
389	733	1147
390	735	1144
391	736	1143
392	738	1141
393	740	1139
394	742	1137
395	744	1135
396	746	1133
397	748	1131
398	750	1130
399	752	1128
400	754	1126
401	755	1124
402	757	1122
403	759	1121
404	761	1119
405	763	1117
406	765	1115
407	767	1113
408	769	1111
409	771	1109
410	772	1107
411	774	1105
412	776	1104
413	778	1102
414	780	1100
415	782	1098
416	784	1096
417	786	1094
418	788	1092
419	790	1091
420	792	1089
421	794	1088
422	796	1086
423	798	1085
424	800	1083
425	802	1081
426	804	1079
427	806	1077
428	808	1076
429	810	1074
430	812	1072
431	814	1071
432	816	1069
433	818	1067
434	820	1065
435	821	1063
436	824	1061
437	826	1060
438	828	1058
439	830	1056
440	832	1054
441	834	1052
442	835	1051
443	837	1049
444	840	1047
445	841	1045
446	842	1042
447	844	1041
448	846	1039
449	848	1037
450	850	1035
451	852	1034
452	855	1032
453	857	1031
454	859	1029
